"","Inducer","Concurrent","r"
"1","Affect","Amp",0.731707317073171
"2","Affect","Brightness",0.682926829268293
"3","Affect","Color",0.268292682926829
"4","Affect","Noise",-0.24390243902439
"5","Affect","Pitch",0.0476190476190476
"6","Affect","Shape",0.166666666666667
"7","Affect","Size",0.439024390243902
"8","Affect","Speed",0.878048780487805
"9","Amp","Affect",0.682926829268293
"10","Amp","Brightness",0.825
"11","Amp","Color",0.55
"12","Amp","Noise",-0.025
"13","Amp","Pitch",-0.48780487804878
"14","Amp","Shape",0.439024390243902
"15","Amp","Size",0.8
"16","Amp","Speed",0.875
"17","Brightness","Affect",0.804878048780488
"18","Brightness","Amp",0.775
"19","Brightness","Color",0.025
"20","Brightness","Noise",-0.35
"21","Brightness","Pitch",0.121951219512195
"22","Brightness","Shape",0.0487804878048781
"23","Brightness","Size",0.3
"24","Brightness","Speed",0.85
"25","Color","Affect",0.195121951219512
"26","Color","Amp",0.6
"27","Color","Brightness",0
"28","Color","Noise",0.075
"29","Color","Pitch",-0.170731707317073
"30","Color","Shape",0.536585365853659
"31","Color","Size",0.3
"32","Color","Speed",0.2
"33","Noise","Affect",-0.170731707317073
"34","Noise","Amp",-0.025
"35","Noise","Brightness",-0.425
"36","Noise","Color",0.15
"37","Noise","Pitch",0.219512195121951
"38","Noise","Shape",0.48780487804878
"39","Noise","Size",-0.025
"40","Noise","Speed",0.15
"41","Pitch","Affect",0.0476190476190476
"42","Pitch","Amp",-0.414634146341463
"43","Pitch","Brightness",0.170731707317073
"44","Pitch","Color",-0.0487804878048781
"45","Pitch","Noise",0.195121951219512
"46","Pitch","Shape",0.285714285714286
"47","Pitch","Size",-0.536585365853659
"48","Pitch","Speed",0.195121951219512
"49","Shape","Affect",0.0238095238095238
"50","Shape","Amp",0.585365853658537
"51","Shape","Brightness",0.024390243902439
"52","Shape","Color",0.463414634146341
"53","Shape","Noise",0.317073170731707
"54","Shape","Pitch",0.142857142857143
"55","Shape","Size",0.0487804878048781
"56","Shape","Speed",0.658536585365854
"57","Size","Affect",0.51219512195122
"58","Size","Amp",0.85
"59","Size","Brightness",0.3
"60","Size","Color",0.175
"61","Size","Noise",0.025
"62","Size","Pitch",-0.560975609756098
"63","Size","Shape",0
"64","Size","Speed",-0.375
"65","Speed","Affect",0.75609756097561
"66","Speed","Amp",0.875
"67","Speed","Brightness",0.8
"68","Speed","Color",0.2
"69","Speed","Noise",0.15
"70","Speed","Pitch",0.0731707317073171
"71","Speed","Shape",0.609756097560976
"72","Speed","Size",-0.25
