Unnamed: 0,Comparison,Prediction,MagSym,Same1,ImputedPrediction,ImputedMean
1,Affect EB-Amp,1,1,1,1,0.881818181818
2,Affect EB-Brightness,1,1,1,1,0.872727272727
3,Affect EB-Color RB,1,1,1,1,0.611111111111
4,Affect EB-Color RG,0,1,0,0,0.0384615384615
5,Affect EB-Color RY,1,1,1,0,0.318181818182
6,Affect EB-Color YB,1,1,1,1,0.923076923077
7,Affect EB-Noise,1,1,1,0,0.272727272727
8,Affect EB-Pitch,1,1,1,1,0.527272727273
9,Affect EB-Shape,1,1,1,1,0.554545454545
10,Affect EB-Size,0,1,0,1,0.845454545455
11,Affect EB-Speed,1,1,1,1,0.945454545455
12,Affect HS-Amp,1,1,1,1,0.9
13,Affect HS-Brightness,1,1,1,1,0.936363636364
14,Affect HS-Color RB,1,1,1,1,0.611111111111
15,Affect HS-Color RG,0,1,0,0,0.115384615385
16,Affect HS-Color RY,0,1,0,0,0.318181818182
17,Affect HS-Color YB,1,1,1,1,0.923076923077
18,Affect HS-Noise,0,1,0,0,0.163636363636
19,Affect HS-Pitch,1,1,1,1,0.581818181818
20,Affect HS-Shape,1,1,1,1,0.518181818182
21,Affect HS-Size,0,1,0,1,0.9
22,Affect HS-Speed,1,1,1,1,0.981818181818
23,Affect PD-Amp,0,1,0,1,0.563636363636
24,Affect PD-Brightness,1,1,1,1,0.8
25,Affect PD-Color RB,0,1,0,0,0.472222222222
26,Affect PD-Color RG,0,1,0,0,0.0384615384615
27,Affect PD-Color RY,0,1,0,0,0.181818181818
28,Affect PD-Color YB,1,1,1,1,0.846153846154
29,Affect PD-Noise,0,1,0,0,0.109090909091
30,Affect PD-Pitch,1,1,1,1,0.545454545455
31,Affect PD-Shape,1,1,1,0,0.290909090909
32,Affect PD-Size,0,1,0,1,0.827272727273
33,Affect PD-Speed,1,1,1,1,0.681818181818
34,Affect SC-Amp,1,1,1,1,0.918181818182
35,Affect SC-Brightness,1,1,1,1,0.645454545455
36,Affect SC-Color RB,1,1,1,1,0.888888888889
37,Affect SC-Color RG,1,1,1,1,0.807692307692
38,Affect SC-Color RY,1,1,1,1,1.0
39,Affect SC-Color YB,1,1,1,1,0.807692307692
40,Affect SC-Noise,1,1,1,1,0.809090909091
41,Affect SC-Pitch,1,1,1,1,0.572727272727
42,Affect SC-Shape,1,1,1,1,0.854545454545
43,Affect SC-Size,0,1,0,1,0.754545454545
44,Affect SC-Speed,1,1,1,1,0.963636363636
49,Amp-Brightness,1,1,1,1,0.814772727273
50,Amp-Color RB,1,1,1,1,0.730871212121
51,Amp-Color RG,1,1,1,1,0.532954545455
52,Amp-Color RY,1,1,1,1,0.635227272727
53,Amp-Color YB,1,1,1,1,0.845454545455
54,Amp-Noise,1,1,1,1,0.577272727273
55,Amp-Pitch,0,1,0,1,0.686363636364
56,Amp-Shape,1,1,1,1,0.685227272727
57,Amp-Size,1,1,1,1,0.823863636364
58,Amp-Speed,1,1,1,1,0.854545454545
64,Brightness-Color RB,1,1,1,1,0.729734848485
65,Brightness-Color RG,0,1,0,1,0.531818181818
66,Brightness-Color RY,0,1,0,1,0.634090909091
67,Brightness-Color YB,1,1,1,1,0.844318181818
68,Brightness-Noise,1,1,1,1,0.576136363636
69,Brightness-Pitch,1,1,1,1,0.685227272727
70,Brightness-Shape,1,1,1,1,0.684090909091
71,Brightness-Size,0,1,0,1,0.822727272727
72,Brightness-Speed,1,1,1,1,0.853409090909
79,Color RB-Noise,1,1,1,0,0.492234848485
80,Color RB-Pitch,1,1,1,1,0.601325757576
81,Color RB-Shape,1,1,1,1,0.600189393939
82,Color RB-Size,0,1,0,1,0.738825757576
83,Color RB-Speed,1,1,1,1,0.769507575758
90,Color RG-Noise,1,1,1,0,0.294318181818
91,Color RG-Pitch,0,1,0,0,0.403409090909
92,Color RG-Shape,1,1,1,0,0.402272727273
93,Color RG-Size,0,1,0,1,0.540909090909
94,Color RG-Speed,1,1,1,1,0.571590909091
101,Color RY-Noise,1,1,1,0,0.396590909091
102,Color RY-Pitch,0,1,0,1,0.505681818182
103,Color RY-Shape,1,1,1,1,0.504545454545
104,Color RY-Size,1,1,1,1,0.643181818182
105,Color RY-Speed,1,1,1,1,0.673863636364
112,Color YB-Noise,1,1,1,1,0.606818181818
113,Color YB-Pitch,1,1,1,1,0.715909090909
114,Color YB-Shape,1,1,1,1,0.714772727273
115,Color YB-Size,0,1,0,1,0.853409090909
116,Color YB-Speed,1,1,1,1,0.884090909091
127,Noise-Pitch,0,1,0,0,0.447727272727
128,Noise-Shape,1,1,1,0,0.446590909091
129,Noise-Size,0,1,0,1,0.585227272727
130,Noise-Speed,1,1,1,1,0.615909090909
142,Pitch-Shape,0,1,0,1,0.555681818182
143,Pitch-Size,0,1,0,1,0.694318181818
144,Pitch-Speed,1,1,1,1,0.725
157,Shape-Size,0,1,0,1,0.693181818182
158,Shape-Speed,1,1,1,1,0.723863636364
172,Size-Speed,0,1,0,1,0.8625
